Tid;Forbrugertillidsindikatoren
1990M01;-3
1990M02;-7
1990M03;-6
1990M04;-9
1990M05;-8
1990M06;-14
1990M07;
1990M08;-11
1990M09;-11
1990M10;-12
1990M11;-13
1990M12;-9
1991M01;-2
1991M02;-4
1991M03;1
1991M04;-1
1991M05;-4
1991M06;-2
1991M07;
1991M08;-2
1991M09;-4
1991M10;-3
1991M11;0
1991M12;-1
1992M01;2
1992M02;-2
1992M03;-3
1992M04;-1
1992M05;0
1992M06;0
1992M07;
1992M08;1
1992M09;-4
1992M10;-6
1992M11;-10
1992M12;-9
1993M01;-5
1993M02;-6
1993M03;-8
1993M04;-7
1993M05;-5
1993M06;-2
1993M07;
1993M08;-3
1993M09;-5
1993M10;-5
1993M11;-2
1993M12;-3
1994M01;3
1994M02;6
1994M03;5
1994M04;11
1994M05;11
1994M06;9
1994M07;
1994M08;10
1994M09;9
1994M10;6
1994M11;8
1994M12;6
1995M01;9
1995M02;9
1995M03;9
1995M04;9
1995M05;11
1995M06;8
1995M07;
1995M08;11
1995M09;11
1995M10;8
1995M11;9
1995M12;6
1996M01;9
1996M02;4
1996M03;5
1996M04;5
1996M05;4
1996M06;4
1996M07;3
1996M08;6
1996M09;4
1996M10;5
1996M11;6
1996M12;3
1997M01;10
1997M02;8
1997M03;9
1997M04;11
1997M05;7
1997M06;10
1997M07;11
1997M08;10
1997M09;11
1997M10;8
1997M11;7
1997M12;6
1998M01;11
1998M02;9
1998M03;10
1998M04;9
1998M05;7
1998M06;3
1998M07;-4
1998M08;-1
1998M09;0
1998M10;-4
1998M11;-4
1998M12;-9
1999M01;-6
1999M02;-7
1999M03;-3
1999M04;-3
1999M05;-2
1999M06;-2
1999M07;-1
1999M08;0
1999M09;3
1999M10;1
1999M11;-2
1999M12;-6
2000M01;-2
2000M02;1
2000M03;-1
2000M04;4
2000M05;4
2000M06;5
2000M07;3
2000M08;4
2000M09;2
2000M10;3
2000M11;1
2000M12;2
2001M01;3
2001M02;1
2001M03;0
2001M04;-2
2001M05;0
2001M06;2
2001M07;-1
2001M08;-1
2001M09;1
2001M10;-3
2001M11;-2
2001M12;0
2002M01;3
2002M02;2
2002M03;0
2002M04;4
2002M05;2
2002M06;1
2002M07;1
2002M08;-1
2002M09;3
2002M10;1
2002M11;0
2002M12;-1
2003M01;4
2003M02;-2
2003M03;-3
2003M04;-2
2003M05;1
2003M06;1
2003M07;0
2003M08;2
2003M09;0
2003M10;2
2003M11;2
2003M12;1
2004M01;5
2004M02;2
2004M03;3
2004M04;8
2004M05;8
2004M06;7
2004M07;8
2004M08;10
2004M09;7
2004M10;7
2004M11;7
2004M12;8
2005M01;11.2
2005M02;8.9
2005M03;4.6
2005M04;8
2005M05;7.1
2005M06;5.6
2005M07;8.9
2005M08;11.1
2005M09;9.7
2005M10;11.1
2005M11;11.2
2005M12;8.4
2006M01;15.5
2006M02;11.8
2006M03;10.4
2006M04;11.1
2006M05;11.7
2006M06;9.3
2006M07;8.6
2006M08;10.4
2006M09;9.3
2006M10;9.3
2006M11;10.7
2006M12;7.4
2007M01;11.8
2007M02;9.2
2007M03;8.8
2007M04;8.6
2007M05;7.9
2007M06;9.3
2007M07;8.4
2007M08;5.3
2007M09;5.7
2007M10;5.4
2007M11;6.1
2007M12;2.9
2008M01;-1.1
2008M02;-2.5
2008M03;-1.3
2008M04;-3.1
2008M05;-3.5
2008M06;-6.6
2008M07;-9.7
2008M08;-12.2
2008M09;-11.1
2008M10;-16.6
2008M11;-11.5
2008M12;-13.5
2009M01;-9.1
2009M02;-11.3
2009M03;-11.7
2009M04;-4.4
2009M05;-4.7
2009M06;-5.5
2009M07;-3.2
2009M08;-2.6
2009M09;-1.1
2009M10;-0.9
2009M11;-2.4
2009M12;-3.6
2010M01;1.1
2010M02;1.8
2010M03;-1
2010M04;4.2
2010M05;3
2010M06;-1.5
2010M07;4.1
2010M08;4.4
2010M09;2.3
2010M10;0.6
2010M11;3.6
2010M12;-0.7
2011M01;3.3
2011M02;-0.5
2011M03;-0.8
2011M04;2
2011M05;2.6
2011M06;3
2011M07;-0.6
2011M08;-2.2
2011M09;-3.6
2011M10;-6.6
2011M11;-9.2
2011M12;-9.8
2012M01;-7
2012M02;-4.8
2012M03;-0.4
2012M04;0.6
2012M05;-0.4
2012M06;-2.6
2012M07;0.1
2012M08;0
2012M09;-2.2
2012M10;-5.5
2012M11;-1.3
2012M12;-4.7
2013M01;-2.7
2013M02;-2
2013M03;-2.1
2013M04;-2.8
2013M05;-2.6
2013M06;3.4
2013M07;3.7
2013M08;5.9
2013M09;4.7
2013M10;4.6
2013M11;4
2013M12;2.9
2014M01;6.3
2014M02;4.2
2014M03;5
2014M04;5.5
2014M05;7.8
2014M06;9.3
2014M07;10.6
2014M08;11.4
2014M09;7.1
2014M10;8.2
2014M11;6.3
2014M12;6
2015M01;9
2015M02;9.1
2015M03;13.9
2015M04;13.7
2015M05;13
2015M06;9.8
2015M07;9.5
2015M08;9.2
2015M09;5
2015M10;3
2015M11;5.6
2015M12;6.1
2016M01;4.6
2016M02;4
2016M03;3.6
2016M04;5.5
2016M05;3.2
2016M06;4.4
2016M07;3.1
2016M08;4.8
2016M09;1.8
2016M10;1.2
2016M11;0.9
2016M12;-0.3
2017M01;4.5
2017M02;4.8
2017M03;6.2
2017M04;7.4
2017M05;5.8
2017M06;7.1
2017M07;10.5
2017M08;7.6
2017M09;7.3
2017M10;7.1
2017M11;7.6
2017M12;6.5
2018M01;8.2
2018M02;8.5
2018M03;8.5
2018M04;7.1
2018M05;9.3
2018M06;10.6
2018M07;9.7
2018M08;7.8
2018M09;6.9
2018M10;5.1
2018M11;4.3
2018M12;2.9
2019M01;3.9
2019M02;3.3
2019M03;3.8
2019M04;3.7
2019M05;5.9
2019M06;5.8
2019M07;2.9
2019M08;6.3
2019M09;4.3
2019M10;1.7
2019M11;1.4
2019M12;2.5
2020M01;4.5
2020M02;3.3
2020M03;0.4
2020M04;-11.9
2020M05;-8.8
2020M06;-3.1
2020M07;-2.9
2020M08;-5.5
2020M09;-7.4
2020M10;-6.2
2020M11;-7.6
2020M12;-3.8
