Tid;Investeringer, mia. kr., loebende priser
1990K1;48
1990K2;49.2
1990K3;41
1990K4;39.7
1991K1;47.2
1991K2;48
1991K3;40.4
1991K4;39.2
1992K1;46.1
1992K2;45.8
1992K3;41.4
1992K4;41.5
1993K1;46.5
1993K2;43.6
1993K3;35
1993K4;36.2
1994K1;45.9
1994K2;49.6
1994K3;40.1
1994K4;50.5
1995K1;55.1
1995K2;54.8
1995K3;47.6
1995K4;56.8
1996K1;51.6
1996K2;55.7
1996K3;51.9
1996K4;59.1
1997K1;61.7
1997K2;65.4
1997K3;61.9
1997K4;63.8
1998K1;70
1998K2;68.9
1998K3;60.9
1998K4;68.8
1999K1;62.1
1999K2;67
1999K3;62.1
1999K4;68.1
2000K1;74.2
2000K2;78.2
2000K3;67.4
2000K4;76.8
2001K1;69.2
2001K2;76.6
2001K3;73.7
2001K4;79.8
2002K1;74
2002K2;79.7
2002K3;72.6
2002K4;74.8
2003K1;74.5
2003K2;75.2
2003K3;70.6
2003K4;80.3
2004K1;76.5
2004K2;81.2
2004K3;83.4
2004K4;85.6
2005K1;79.3
2005K2;90.8
2005K3;86.9
2005K4;95.2
2006K1;90.7
2006K2;107.6
2006K3;105.6
2006K4;104.8
2007K1;109.8
2007K2;112
2007K3;108.3
2007K4;109.5
2008K1;105.4
2008K2;111.2
2008K3;107.9
2008K4;107.5
2009K1;87.5
2009K2;79.7
2009K3;82.3
2009K4;79.2
2010K1;73.4
2010K2;88.4
2010K3;81.9
2010K4;83.7
2011K1;81.6
2011K2;93
2011K3;89.3
2011K4;89.4
2012K1;92.2
2012K2;95
2012K3;91.3
2012K4;90.4
2013K1;92.4
2013K2;98.5
2013K3;96.8
2013K4;92.3
2014K1;98.4
2014K2;103.3
2014K3;98.4
2014K4;97.9
2015K1;98.2
2015K2;109
2015K3;105.2
2015K4;107.7
2016K1;105.5
2016K2;118.8
2016K3;118.2
2016K4;116.5
2017K1;114.2
2017K2;127.2
2017K3;117.7
2017K4;124.5
2018K1;118.4
2018K2;148
2018K3;124.1
2018K4;131.1
2019K1;129.9
2019K2;135.8
2019K3;131.7
2019K4;132.9
2020K1;139.3
2020K2;130.8
2020K3;136.8
2020K4;131.6
