Tid;Offentligt forbrug, mia. kr., loebende priser
1990K1;50.2
1990K2;50.9
1990K3;51
1990K4;52.4
1991K1;53.4
1991K2;53.6
1991K3;54.2
1991K4;54.8
1992K1;54.8
1992K2;55.1
1992K3;55.7
1992K4;57.4
1993K1;56.8
1993K2;58.5
1993K3;59.2
1993K4;60.4
1994K1;60.4
1994K2;60.6
1994K3;60.2
1994K4;61.2
1995K1;61.5
1995K2;62.2
1995K3;62.6
1995K4;63
1996K1;63.8
1996K2;65.8
1996K3;66.3
1996K4;66.4
1997K1;66.4
1997K2;67.9
1997K3;68.3
1997K4;68.3
1998K1;69.4
1998K2;71.3
1998K3;72.2
1998K4;73.3
1999K1;73.6
1999K2;75.6
1999K3;75.6
1999K4;77.6
2000K1;76.4
2000K2;78.7
2000K3;79.6
2000K4;82.1
2001K1;79.6
2001K2;82.9
2001K3;84.1
2001K4;87
2002K1;84.2
2002K2;88
2002K3;88.5
2002K4;90.1
2003K1;86.5
2003K2;90.2
2003K3;90.1
2003K4;92.9
2004K1;91
2004K2;94.2
2004K3;93.6
2004K4;96.6
2005K1;93.9
2005K2;97
2005K3;96.9
2005K4;100.7
2006K1;98.8
2006K2;101.5
2006K3;101.6
2006K4;105.3
2007K1;102.5
2007K2;104.7
2007K3;105.2
2007K4;110.8
2008K1;107.3
2008K2;111.8
2008K3;113.9
2008K4;119.1
2009K1;115.9
2009K2;119.5
2009K3;120.5
2009K4;125.2
2010K1;121.1
2010K2;124.4
2010K3;123.6
2010K4;126.6
2011K1;120.5
2011K2;123.8
2011K3;121.6
2011K4;124.7
2012K1;121
2012K2;124.2
2012K3;125.4
2012K4;131.1
2013K1;120.9
2013K2;124.9
2013K3;125.3
2013K4;130.7
2014K1;123.7
2014K2;126.6
2014K3;127.8
2014K4;132.8
2015K1;126.1
2015K2;129.5
2015K3;129.8
2015K4;133.2
2016K1;126.6
2016K2;132.3
2016K3;131.6
2016K4;133.7
2017K1;129.4
2017K2;133.5
2017K3;133.8
2017K4;138.8
2018K1;131.9
2018K2;136.4
2018K3;136.3
2018K4;142.1
2019K1;133.4
2019K2;138.6
2019K3;138.2
2019K4;146.6
2020K1;139.5
2020K2;141.4
2020K3;139.4
2020K4;155.3
